129,125,101,102,102,102,102,102,102,102,103,127,127,127,127,127,127,127,127,127,127,127,127,127,75,76,77,53,102,102,102,51
154,150,127,275,276,127,127,127,275,276,128,152,152,152,152,152,152,152,152,152,152,152,152,152,100,101,102,103,104,152,100,101
154,150,151,300,301,152,152,152,300,301,153,129,177,177,177,177,177,177,177,177,177,177,177,177,125,126,127,128,129,177,125,126
154,175,176,177,177,177,178,178,178,178,178,179,204,204,204,204,204,204,204,204,204,204,204,204,150,151,152,153,154,204,150,151
154,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,175,177,177,177,179,204,175,125
154,204,204,204,204,204,204,204,204,204,204,228,204,204,204,204,204,204,204,228,204,204,204,204,204,204,204,204,204,204,204,150
154,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,150
154,204,204,204,204,204,204,-1,204,229,229,229,229,229,204,-1,204,229,229,229,229,229,204,-1,204,204,205,206,207,208,204,150
154,204,204,204,204,204,-1,-1,204,204,203,204,203,204,-1,-1,204,204,203,204,203,204,-1,-1,204,204,229,229,229,229,204,150
154,204,204,204,204,204,204,-1,204,229,229,229,229,229,204,-1,204,229,229,229,229,229,204,-1,204,204,204,204,204,204,204,150
154,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,206,207,208,204,150
154,204,204,204,204,204,204,204,204,204,1,2,3,204,204,204,204,204,204,204,204,204,204,204,204,204,229,229,229,229,204,150
154,177,177,177,4,204,204,204,150,25,26,27,28,29,154,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,150
154,442,397,442,154,204,204,204,150,50,51,52,53,54,154,204,204,204,204,204,204,204,204,204,204,204,204,206,207,208,204,150
154,421,422,423,154,204,204,204,150,75,76,77,78,79,154,204,204,204,204,204,204,204,204,204,204,204,204,231,232,233,204,150
154,442,447,442,154,204,204,204,150,100,101,102,103,104,154,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,150
154,176,177,178,179,204,204,204,175,125,126,127,128,129,179,204,204,1,2,2,2,2,2,2,2,2,2,2,3,204,204,150
4,204,204,204,204,204,204,204,204,175,177,177,177,179,204,204,204,76,27,27,27,27,27,27,27,27,27,27,28,3,204,150
